 Count  Overhead File                    Line Function
   271       270 @StaticArrays/src/convert.jl  173 SVector{3, Float64}(::Float64, ::…
   274       137 @NuclearDetonation/…port/orchestration.jl  877 integrate_timestep!(state::Simula…
   275       275 @Base/bool.jl            41 |
   278         0 @Base/reduce.jl         257 macro expansion
   281        38 @Base/strings/io.jl     151 print_to_string(::Int64, ::String…
   283         0 @Interpolations/…tion/extrapolation.jl  103 inbounds_position
   294         0 @Base/reduce.jl         255 mapreduce_impl
   295         0 @Base/reduce.jl         269 mapreduce_impl
   296         1 @Base/reduce.jl         436 _mapreduce
   299         0 @Interpolations/…tion/extrapolation.jl   49 (::Interpolations.Extrapolation{F…
   305         0 @NuclearDetonation/…hybrid_coordinates.jl  129 hybrid_profile(winds::WindFields{…
   305         0 @Base/reducedim.jl      979 extrema
   305         0 @Base/reducedim.jl      979 #extrema#751
   305         0 @Base/reducedim.jl      983 _extrema
   305         0 @Base/reducedim.jl      983 #_extrema#753
   305         0 @Base/reducedim.jl      984 _extrema
   305         0 @Base/reducedim.jl      984 #_extrema#754
   305         0 @Base/reducedim.jl      326 mapreduce
   305         0 @Base/reducedim.jl      326 #mapreduce#728
   305         0 @Base/reducedim.jl      334 _mapreduce_dim
   305       305 @Base/int.jl             87 +
   331       331 @Base/int.jl             83 <
   348         0 @Base/simdloop.jl        77 macro expansion
   353       353 @Base/boot.jl           792 NamedTuple
   356         0 @Base/float.jl          633 _fpint
   361         0 @Base/operators.jl      181 signless
   371         0 @Base/promotion.jl      436 /
   384        52 @Base/strings/io.jl     193 string
   401       401 @Base/sort.jl             ? find_knot_index
   406         0 @Base/promotion.jl      488 <
   407       122 @Base/float.jl          638 isless
   410         0 @Base/abstractarray.jl 3065 _sub2ind
   410         0 @Base/abstractarray.jl 3081 _sub2ind_recurse
   420         4 @NuclearDetonation/…port/orchestration.jl 1526 integrate_timestep!(state::Simula…
   431         0 @Base/abstractarray.jl 1377 _to_linear_index
   431         0 @Base/abstractarray.jl 3049 _sub2ind
   444        93 @Interpolations/…tion/extrapolation.jl   48 Extrapolation
   459       459 @Base/essentials.jl     799 ifelse
   477         0 @Interpolations/src/utils.jl   10 fmap
   477         0 @Interpolations/src/utils.jl   11 _fmap
   477         0 @Interpolations/…c/b-splines/linear.jl   54 value_weights
   478         0 @Interpolations/…c/gridded/indexing.jl   72 weightedindex
   499         0 @Base/float.jl          709 isnan
   499       499 @Base/float.jl          622 !=
   501         0 @Interpolations/src/Interpolations.jl  303 interp_getindex
   561         0 @Base/promotion.jl      435 -
   571         0 @Base/float.jl          640 isless
   581       581 @Base/float.jl          498 /
   587         0 @Interpolations/src/utils.jl    5 ratio
   750       750 @Base/boot.jl           648 Array
   813       813 @Base/essentials.jl     920 getindex
   830         0 @Base/broadcast.jl      227 similar
   830         0 @Base/broadcast.jl      228 similar
   833         0 @Interpolations/src/Interpolations.jl  308 interp_getindex
   833         0 @Base/abstractarray.jl  866 similar
   833         0 @Base/abstractarray.jl  867 similar
   842         0 @Base/boot.jl           660 Array
   864         0 @Interpolations/…c/gridded/indexing.jl   71 weightedindex
   869         0 @Base/array.jl          929 getindex
   874         0 @Interpolations/…c/gridded/indexing.jl    5 GriddedInterpolation
   878         0 @Interpolations/src/Interpolations.jl  302 interp_getindex
   894         0 @Interpolations/src/Interpolations.jl  286 getindex
   903         0 @Base/broadcast.jl      919 copy
   904         0 @NuclearDetonation/…hybrid_coordinates.jl   43 hybrid_profile(winds::WindFields{…
   917       917 @Base/float.jl          496 -
   961         0 @Base/broadcast.jl      894 materialize
  1154         0 @Base/operators.jl      222 isless
  1187      1187 @NuclearDetonation/…hybrid_coordinates.jl    ? hybrid_profile(winds::WindFields{…
  1482         0 @Interpolations/…c/gridded/indexing.jl   62 weightedindex_parts2
  1656         0 @Interpolations/…c/gridded/indexing.jl   56 weightedindex_parts
  1806        18 @NuclearDetonation/…hybrid_coordinates.jl   37 kwcall(::@NamedTuple{heights_buff…
  1851        45 @NuclearDetonation/…port/orchestration.jl  474 integrate_timestep!(state::Simula…
  1885         0 @NuclearDetonation/…ansport/simulation.jl  859 accumulate_concentration!(fields:…
  1932         0 @NuclearDetonation/…port/orchestration.jl 2198 run_simulation!(state::Simulation…
  1932         0 @NuclearDetonation/…ansport/simulation.jl  815 kwcall(::@NamedTuple{use_trilinea…
  2017        21 @NuclearDetonation/…port/orchestration.jl  916 integrate_timestep!(state::Simula…
  2025        26 @NuclearDetonation/…port/orchestration.jl  911 integrate_timestep!(state::Simula…
  2132         0 @Base/ordering.jl       118 lt
  2320         0 @NuclearDetonation/…port/orchestration.jl  929 integrate_timestep!(state::Simula…
  2440       160 @Base/sort.jl           192 searchsortedfirst
  3371         0 @Base/sort.jl           308 searchsortedfirst
  3385         0 @Interpolations/…c/gridded/indexing.jl   51 find_knot_index
  3444         0 @NuclearDetonation/…port/orchestration.jl  741 (::NuclearDetonation.Transport.va…
  3786         0 @Interpolations/…c/gridded/indexing.jl   55 weightedindex_parts
  5430         0 @Interpolations/…c/gridded/indexing.jl    4 GriddedInterpolation
  5442         0 @Interpolations/…b-splines/indexing.jl   70 map3argf
  5443         0 @Interpolations/…b-splines/indexing.jl   66 weightedindexes
  6005         0 @Interpolations/…tion/extrapolation.jl   49 Extrapolation
  6387         0 @NuclearDetonation/…hybrid_coordinates.jl   55 hybrid_profile(winds::WindFields{…
  7668         9 @NuclearDetonation/…hybrid_coordinates.jl   37 hybrid_profile
 11285         2 @NuclearDetonation/…port/orchestration.jl 2173 run_simulation!(state::Simulation…
 11421         7 @NuclearDetonation/…port/orchestration.jl  278 kwcall(::@NamedTuple{hanna_config…
 13628         0 …port/cpu_reference.jl  206 run_reference_simulation(params::…
 13628         0 @NuclearDetonation/…port/orchestration.jl 1595 run_simulation!
 13650         0 @Base/client.jl         550 _start()
 13650         0 @Base/client.jl         317 exec_options(opts::Base.JLOptions)
 13650         0 @Base/Base.jl           306 include(mod::Module, _path::Strin…
 13650         0 @Base/loading.jl       2930 _include(mapexpr::Function, mod::…
 13650         0 @Base/loading.jl       2870 include_string(mapexpr::typeof(id…
 13650         0 @Base/boot.jl           489 eval(m::Module, e::Any)
 13650         0 …ile_run_simulation.jl   59 top-level scope
 13761         0 @Base/Base.jl           352 (::Base.var"#start_profile_listen…
 13761         0 @Base/Base.jl           332 profile_printing_listener(cond::B…
 13761         0 @Base/asyncevent.jl     163 _trywait(t::Base.AsyncCondition)
 13761         0 @Base/condition.jl      141 wait(c::Base.GenericCondition{Spi…
 13761         0 @Base/task.jl          1228 wait()
 13761     13760 @Base/task.jl          1216 poptask(W::Base.IntrusiveLinkedLi…
Total snapshots: 27522. Utilization: 50% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
